id,pool_id,user_id,role,side_bet_manager,payout_eligible,payment_status,joined_at
1a35f790-9ef7-482d-a052-d8da61f982aa,85e09629-8283-4ada-bdce-b4bc06f777e4,0bb91f60-0024-448e-b708-7a2d1751a286,commissioner,False,True,paid,2026-04-14T08:44:12.744718+00:00
6b0db3a3-94d6-4da4-bcbc-c15c17522c22,85e09629-8283-4ada-bdce-b4bc06f777e4,3ef1c7ab-630c-4cd3-b8f8-81e873c9de7e,player,False,True,n/a,2026-04-14T08:44:12.744726+00:00
e7df4352-3364-40ea-bc10-27985f2094dd,85e09629-8283-4ada-bdce-b4bc06f777e4,cb87399a-3f17-470e-8ed4-2176fc6e5b17,player,False,True,pending,2026-04-14T09:58:42.907975+00:00
e1e1ee61-376a-4104-b3f4-77920a15cf52,85e09629-8283-4ada-bdce-b4bc06f777e4,4ffc61fb-dcd8-4f3e-99e0-7758489942ad,player,False,True,pending,2026-04-14T10:00:02.899689+00:00
f920aeb6-b889-491c-b56c-b222832a72e3,85e09629-8283-4ada-bdce-b4bc06f777e4,0abc7cad-9ee0-468e-b310-a0461ebf2c61,player,False,True,pending,2026-04-14T10:17:59.971299+00:00
d4c8ddbd-93f9-416c-a46e-cf3473cd3478,85e09629-8283-4ada-bdce-b4bc06f777e4,3cc263ea-f956-4b4e-8951-b6753f09329b,player,False,True,pending,2026-04-14T10:53:08.265040+00:00
70913c5a-bdbd-40e4-a825-cf1e28460ecc,85e09629-8283-4ada-bdce-b4bc06f777e4,b4ef5fb8-6654-4b93-808e-abd32da3312b,player,False,True,pending,2026-04-14T11:02:01.412147+00:00
87024746-1caa-435d-8dbd-d01ed625a3d8,85e09629-8283-4ada-bdce-b4bc06f777e4,6bf2eb7d-f1eb-4fa3-b119-3c76ba00cd13,player,False,True,pending,2026-04-14T13:55:36.435450+00:00
7748ab7c-7f29-4c4f-a447-d0414e90b879,85e09629-8283-4ada-bdce-b4bc06f777e4,8ee21dd6-3b22-4814-9902-affa2d6a70a5,player,False,True,pending,2026-04-14T15:45:49.976685+00:00
b383818d-87be-4551-baa7-c25bde381875,85e09629-8283-4ada-bdce-b4bc06f777e4,a0dd59de-26f4-451d-8ec1-907d72515007,player,False,True,pending,2026-04-14T20:50:54.292507+00:00
1f5da3a4-b36a-4c08-a04d-57240be44659,85e09629-8283-4ada-bdce-b4bc06f777e4,70fd63eb-3f03-4c48-abde-fbcacc6d1924,player,False,True,pending,2026-04-14T21:19:47.560931+00:00
