id,pool_id,name,round_key,bet_type,config,opens_at,locks_at,is_locked,is_revealed,revealed_at,monkey_seed,created_at
87b3483f-3b62-4e0d-869c-c8925ecc76a1,85e09629-8283-4ada-bdce-b4bc06f777e4,East Round 1: Boston Celtics vs Philadelphia 76ers,round_1,series,"{'series': [{'series_key': 'round_1-east-2v7', 'round': 'round_1', 'conference': 'East', 'label': 'East 2 vs 7', 'slots': [{'type': 'seed', 'conference': 'East', 'seed': 2, 'team': 'BOS'}, {'type': 'play_in_seed', 'conference': 'East', 'seed': 7, 'series_key': 'play_in-east-7v8'}], 'teams': ['BOS', 'PHI'], 'exact_results': ['4-0', '4-1', '4-2', '4-3'], 'best_of': 7}]}",2026-04-18T09:00:00+00:00,2026-04-19T17:00:00+00:00,False,False,,790005,2026-04-14T08:46:56.419530+00:00
bf62368b-a5ac-47b4-aa7f-249fd01c107c,85e09629-8283-4ada-bdce-b4bc06f777e4,Early Picks,early,early,"{'conference_finalist_options': {'East': ['ATL', 'BOS', 'BKN', 'CHA', 'CHI', 'CLE', 'DET', 'IND', 'MIA', 'MIL', 'NYK', 'ORL', 'PHI', 'TOR', 'WAS'], 'West': ['DAL', 'DEN', 'GSW', 'HOU', 'LAC', 'LAL', 'MEM', 'MIN', 'NOP', 'OKC', 'PHX', 'POR', 'SAC', 'SAS', 'UTA']}, 'nba_finalist_options': {'East': ['ATL', 'BOS', 'BKN', 'CHA', 'CHI', 'CLE', 'DET', 'IND', 'MIA', 'MIL', 'NYK', 'ORL', 'PHI', 'TOR', 'WAS'], 'West': ['DAL', 'DEN', 'GSW', 'HOU', 'LAC', 'LAL', 'MEM', 'MIN', 'NOP', 'OKC', 'PHX', 'POR', 'SAC', 'SAS', 'UTA']}, 'champion_options': ['ATL', 'BOS', 'BKN', 'CHA', 'CHI', 'CLE', 'DET', 'IND', 'MIA', 'MIL', 'NYK', 'ORL', 'PHI', 'TOR', 'WAS', 'DAL', 'DEN', 'GSW', 'HOU', 'LAC', 'LAL', 'MEM', 'MIN', 'NOP', 'OKC', 'PHX', 'POR', 'SAC', 'SAS', 'UTA'], 'finals_mvp_options': ['A.J. Lawson', 'AJ Green', 'Aaron Gordon', 'Aaron Holiday', 'Aaron Nesmith', 'Aaron Wiggins', 'Adem Bona', 'Adou Thiero', 'Ajay Mitchell', 'Al Horford', 'Alex Caruso', 'Alex Morales', 'Alex Sarr', 'Alijah Martin', 'Alperen Sengun', 'Amari Williams', 'Amen Thompson', 'Amir Coffey', 'Andre Drummond', 'Andrew Nembhard', 'Andrew Wiggins', 'Anthony Black', 'Anthony Edwards', 'Antonio Reeves', 'Ariel Hukporti', 'Asa Newell', 'Ausar Thompson', 'Austin Reaves', 'Ayo Dosunmu', 'Bam Adebayo', 'Baylor Scheierman', 'Bennedict Mathurin', 'Bilal Coulibaly', 'Bismack Biyombo', 'Blake Wesley', 'Bobby Portis', 'Bogdan Bogdanovic', 'Bones Hyland', 'Bradley Beal', 'Branden Carlson', 'Brandin Podziemski', 'Brandon Clarke', 'Brandon Ingram', 'Brandon Miller', 'Bronny James', 'Brook Lopez', 'Brooks Barnhizer', 'Bruce Brown', 'Bub Carrington', 'Buddy Hield', 'CJ Huntley', 'CJ McCollum', 'Cade Cunningham', 'Caleb Love', 'Cam Christie', 'Cam Thomas', 'Cameron Johnson', 'Caris LeVert', 'Carter Bryant', 'Cason Wallace', 'Charles Bassey', 'Chaz Lanier', 'Chet Holmgren', 'Chris Manon', 'Chris Youngblood', 'Christian Braun', 'Christian Koloko', 'Chucky Hepburn', 'Clint Capela', 'Coby White', 'Colin Castleton', 'Collin Gillespie', 'Collin Murray-Boyles', 'Collin Sexton', 'Corey Kispert', 'Craig Porter Jr.', 'Curtis Jones', 'DaRon Holmes II', 'Dalano Banton', 'Dalen Terry', 'Dalton Knecht', 'Damian Lillard', 'Daniel Gafford', 'Daniss Jenkins', 'Darius Garland', 'David Jones Garcia', 'David Roddy', 'Davion Mitchell', ""De'Aaron Fox"", ""De'Anthony Melton"", 'DeMar DeRozan', 'Dean Wade', 'Deandre Ayton', 'Deni Avdija', 'Dennis Schroder', 'Dereck Lively II', 'Derrick Jones Jr.', 'Derrick White', 'Desmond Bane', 'Devin Booker', 'Devin Vassell', 'Dillon Brooks', 'Dillon Jones', 'Domantas Sabonis', 'Dominick Barlow', 'Donovan Clingan', 'Donovan Mitchell', 'Donte DiVincenzo', 'Dorian Finney-Smith', 'Draymond Green', 'Drew Timme', 'Dru Smith', 'Duncan Robinson', 'Dylan Harper', 'Dyson Daniels', 'Emanuel Miller', 'Enrique Freeman', 'Evan Mobley', 'Franz Wagner', 'Fred VanVleet', 'Gabe Vincent', 'Garrett Temple', 'Gary Payton II', 'Giannis Antetokounmpo', 'Goga Bitadze', 'Gradey Dick', 'Grant Williams', 'Grayson Allen', 'Gui Santos', 'Harrison Barnes', 'Harrison Ingram', 'Haywood Highsmith', 'Herbert Jones', 'Hugo Gonzalez', 'Immanuel Quickley', 'Isaac Jones', 'Isaiah Collier', 'Isaiah Crawford', 'Isaiah Hartenstein', 'Isaiah Jackson', 'Isaiah Joe', 'Isaiah Livers', 'Isaiah Stewart', 'JD Davison', 'Ja Morant', ""Ja'Kobe Walter"", 'Jabari Smith Jr.', 'Jabari Walker', 'Jaden McDaniels', ""Jae'Sean Tate"", 'Jahmir Young', 'Jaime Jaquez Jr.', 'Jake LaRavia', 'Jakob Poeltl', 'Jalen Brunson', 'Jalen Duren', 'Jalen Green', 'Jalen Johnson', 'Jalen Pickett', 'Jalen Suggs', 'Jalen Williams', 'Jamal Cain', 'Jamal Murray', 'Jamal Shead', 'Jamaree Bouyea', 'James Harden', 'Jamison Battle', 'Jared McCain', 'Jaren Jackson Jr.', 'Jarred Vanderbilt', 'Jarrett Allen', 'Jase Richardson', 'Javonte Green', 'Jaxson Hayes', 'Jaylen Brown', 'Jaylen Clark', 'Jaylin Williams', 'Jaylon Tyson', 'Jayson Kent', 'Jayson Tatum', 'Jeff Green', 'Jerami Grant', 'Jeremy Sochan', 'Jett Howard', 'Jevon Carter', 'Jimmy Butler III', 'Joan Beringer', 'Jock Landale', 'Joe Ingles', 'Joel Embiid', 'John Collins', 'John Tonje', 'Johni Broome', 'Jonas Valanciunas', 'Jonathan Isaac', 'Jonathan Kuminga', 'Jonathan Mogbo', 'Jordan Clarkson', 'Jordan Goodwin', 'Jordan Hawkins', 'Jordan McLaughlin', 'Jordan Miller', 'Jordan Poole', 'Jordan Walsh', 'Jose Alvarado', 'Josh Giddey', 'Josh Green', 'Josh Hart', 'Josh Okogie', 'Jrue Holiday', 'Julian Champagnie', 'Julian Phillips', 'Julian Strawther', 'Julius Randle', 'Justin Edwards', 'KJ Simpson', 'Karl-Anthony Towns', 'Kasparas Jakucionis', 'Kawhi Leonard', 'Keaton Wallace', 'Keegan Murray', ""Kel'el Ware"", 'Keldon Johnson', 'Kelly Olynyk', 'Kelly Oubre Jr.', 'Kenrich Williams', 'Keon Ellis', 'Keshad Johnson', 'Keshon Gilbert', 'Kevin Durant', 'Kevin Huerter', 'Kevin McCullar Jr.', 'Keyonte George', 'Khaman Maluach', 'Khris Middleton', 'Klay Thompson', 'Kobe Sanders', 'Koby Brea', 'Kon Knueppel', 'Kris Dunn', 'Kris Murray', 'Kristaps Porzingis', 'Kyle Anderson', 'Kyle Kuzma', 'Kyle Lowry', 'Kyrie Irving', 'LJ Cryer', 'LaMelo Ball', 'Landry Shamet', 'Larry Nance Jr.', 'Lauri Markkanen', 'LeBron James', 'Liam McNeeley', 'Lindy Waters III', 'Lonzo Ball', 'Luguentz Dort', 'Luka Doncic', 'Luka Garza', 'Luke Kennard', 'Luke Kornet', 'Malcolm Brogdon', 'Malevy Leons', 'Malik Beasley', 'Malik Monk', 'MarJon Beauchamp', 'Marcus Sasser', 'Marcus Smart', 'Mark Williams', 'Mason Plumlee', 'Matisse Thybulle', 'Max Shulga', 'Max Strus', 'Maxi Kleber', 'Mikal Bridges', 'Mike Conley', 'Miles Bridges', 'Miles McBride', 'Mitchell Robinson', 'Mohamed Diawara', 'Moritz Wagner', 'Moses Moody', 'Mouhamed Gueye', 'Moussa Diabate', 'Myles Turner', 'Myron Gardner', ""Nae'Qwan Tomlin"", 'Naji Marshall', 'Nate Williams', 'Naz Reid', 'Neemias Queta', 'Nic Claxton', 'Nick Smith Jr.', 'Nickeil Alexander-Walker', 'Nicolas Batum', 'Nikola Jokic', 'Nikola Jovic', 'Nikola Topic', 'Nikola Vucevic', 'Noah Clowney', 'Noah Penda', 'Norchad Omier', 'Norman Powell', 'OG Anunoby', 'Obi Toppin', 'Olivier Sarr', 'Onyeka Okongwu', 'Oso Ighodaro', 'P.J. Washington', 'PJ Hall', 'Pacome Dadiet', 'Paolo Banchero', 'Pascal Siakam', 'Pat Connaughton', 'Pat Spencer', 'Patrick Williams', 'Paul George', 'Paul Reed', 'Payton Pritchard', 'Payton Sandfort', 'Pelle Larsson', 'Peyton Watson', 'Quentin Grimes', 'Quinten Post', 'RJ Barrett', 'Rasheer Fleming', 'RayJ Dennis', 'Reed Sheppard', 'Riley Minix', 'Robert Williams III', 'Rocco Zikarsky', 'Ron Harper Jr.', 'Ronald Holland II', ""Royce O'Neale"", 'Rudy Gobert', 'Rui Hachimura', 'Ryan Dunn', 'Ryan Kalkbrenner', 'Sam Hauser', 'Sam Merrill', 'Sandro Mamukelashvili', 'Santi Aldama', 'Scoot Henderson', 'Scottie Barnes', 'Scotty Pippen Jr.', 'Sean Pedulla', 'Seth Curry', 'Shaedon Sharpe', 'Shai Gilgeous-Alexander', 'Sidy Cissoko', 'Simone Fontecchio', 'Sion James', 'Spencer Jones', 'Stephen Curry', 'Stephon Castle', 'Steven Adams', 'T.J. McConnell', 'Tari Eason', 'Taylor Hendricks', 'Terrence Shannon Jr.', 'Thomas Bryant', 'Thomas Sorber', 'Tidjane Salaun', 'Tim Hardaway Jr.', 'Tobias Harris', 'Tolu Smith', 'Tony Bradley', 'Tosan Evbuomwan', 'Toumani Camara', 'Trayce Jackson-Davis', 'Tre Mann', 'Trendon Watford', 'Trevor Keels', 'Trey Jemison III', 'Trey Lyles', 'Trey Murphy III', 'Tristan Enaruna', 'Tristan da Silva', 'Tristen Newton', 'TyTy Washington Jr.', 'Tyler Herro', 'Tyler Kolek', 'Tyrese Haliburton', 'Tyrese Martin', 'Tyrese Maxey', 'Tyrese Proctor', 'Tyus Jones', 'VJ Edgecombe', 'Victor Wembanyama', 'Vit Krejci', 'Vladislav Goldin', 'Walker Kessler', 'Wendell Carter Jr.', 'Wendell Moore Jr.', 'Will Richard', 'Xavier Tillman', 'Yang Hansen', 'Yanic Konan Niederhauser', 'Yves Missi', 'Zaccharie Risacher', 'Zach Edey', 'Zeke Nnaji', 'Zion Williamson', 'Zyon Pullin']}",2026-04-14T08:44:00+00:00,2026-04-18T17:00:00+00:00,False,False,,688286,2026-04-14T08:44:12.746570+00:00
8469b70a-0f85-41fa-9d98-b64b54c7b039,85e09629-8283-4ada-bdce-b4bc06f777e4,East Round 1: New York Knicks vs Atlanta Hawks,round_1,series,"{'series': [{'series_key': 'round_1-east-3v6', 'round': 'round_1', 'conference': 'East', 'label': 'East 3 vs 6', 'slots': [{'type': 'seed', 'conference': 'East', 'seed': 3, 'team': 'NYK'}, {'type': 'seed', 'conference': 'East', 'seed': 6, 'team': 'ATL'}], 'teams': ['NYK', 'ATL'], 'exact_results': ['4-0', '4-1', '4-2', '4-3'], 'best_of': 7}]}",2026-04-14T09:00:00+00:00,2026-04-18T22:00:00+00:00,False,False,,906931,2026-04-14T08:46:56.421858+00:00
20e65dd7-6602-47d4-b848-e54ac8703af5,85e09629-8283-4ada-bdce-b4bc06f777e4,West Semifinal: Winner 1/8 vs Winner 4/5,round_2,series,"{'series': [{'series_key': 'round_2-west-top', 'round': 'round_2', 'conference': 'West', 'label': 'West Semifinal 1', 'slots': [{'type': 'winner_of', 'series_key': 'round_1-west-1v8'}, {'type': 'winner_of', 'series_key': 'round_1-west-4v5'}], 'teams': ['TBD', 'TBD'], 'exact_results': ['4-0', '4-1', '4-2', '4-3'], 'best_of': 7}]}",2026-05-02T09:00:00+00:00,2026-05-03T09:00:00+00:00,False,False,,42025,2026-04-14T08:46:56.461430+00:00
e7d0e89d-f889-4ce9-9f3b-91f7d7be7436,85e09629-8283-4ada-bdce-b4bc06f777e4,West Semifinal: Winner 2/7 vs Winner 3/6,round_2,series,"{'series': [{'series_key': 'round_2-west-bottom', 'round': 'round_2', 'conference': 'West', 'label': 'West Semifinal 2', 'slots': [{'type': 'winner_of', 'series_key': 'round_1-west-2v7'}, {'type': 'winner_of', 'series_key': 'round_1-west-3v6'}], 'teams': ['TBD', 'TBD'], 'exact_results': ['4-0', '4-1', '4-2', '4-3'], 'best_of': 7}]}",2026-05-02T09:00:00+00:00,2026-05-03T09:00:00+00:00,False,False,,276590,2026-04-14T08:46:56.463994+00:00
915577d1-0d97-48db-8185-6bc971deb370,85e09629-8283-4ada-bdce-b4bc06f777e4,West Conference Finals,conference_finals,series,"{'series': [{'series_key': 'conference_finals-west', 'round': 'conference_finals', 'conference': 'West', 'label': 'West Conference Finals', 'slots': [{'type': 'winner_of', 'series_key': 'round_2-west-top'}, {'type': 'winner_of', 'series_key': 'round_2-west-bottom'}], 'teams': ['TBD', 'TBD'], 'exact_results': ['4-0', '4-1', '4-2', '4-3'], 'best_of': 7}]}",2026-05-16T09:00:00+00:00,2026-05-17T09:00:00+00:00,False,False,,703227,2026-04-14T08:46:56.465697+00:00
5a340815-b795-4d90-9f91-b1ab99a254a9,85e09629-8283-4ada-bdce-b4bc06f777e4,NBA Finals,finals,series,"{'series': [{'series_key': 'finals-nba', 'round': 'finals', 'conference': None, 'label': 'NBA Finals', 'slots': [{'type': 'winner_of', 'series_key': 'conference_finals-east'}, {'type': 'winner_of', 'series_key': 'conference_finals-west'}], 'teams': ['TBD', 'TBD'], 'exact_results': ['4-0', '4-1', '4-2', '4-3'], 'best_of': 7}]}",2026-05-30T09:00:00+00:00,2026-05-31T09:00:00+00:00,False,False,,203030,2026-04-14T08:46:56.467542+00:00
c198190a-2585-4401-8920-82e931c8248b,85e09629-8283-4ada-bdce-b4bc06f777e4,West Round 1: Denver Nuggets vs Minnesota Timberwolves,round_1,series,"{'series': [{'series_key': 'round_1-west-3v6', 'round': 'round_1', 'conference': 'West', 'label': 'West 3 vs 6', 'slots': [{'type': 'seed', 'conference': 'West', 'seed': 3, 'team': 'DEN'}, {'type': 'seed', 'conference': 'West', 'seed': 6, 'team': 'MIN'}], 'teams': ['DEN', 'MIN'], 'exact_results': ['4-0', '4-1', '4-2', '4-3'], 'best_of': 7}]}",2026-04-14T09:00:00+00:00,2026-04-18T19:30:00+00:00,False,False,,337539,2026-04-14T08:46:56.454279+00:00
1105e439-1097-48c3-8c90-278cdc4c992d,85e09629-8283-4ada-bdce-b4bc06f777e4,West Round 1: San Antonio Spurs vs Portland Trail Blazers,round_1,series,"{'series': [{'series_key': 'round_1-west-2v7', 'round': 'round_1', 'conference': 'West', 'label': 'West 2 vs 7', 'slots': [{'type': 'seed', 'conference': 'West', 'seed': 2, 'team': 'SAS'}, {'type': 'play_in_seed', 'conference': 'West', 'seed': 7, 'series_key': 'play_in-west-7v8'}], 'teams': ['SAS', 'POR'], 'exact_results': ['4-0', '4-1', '4-2', '4-3'], 'best_of': 7}]}",2026-04-18T09:00:00+00:00,2026-04-20T01:00:00+00:00,False,False,,936186,2026-04-14T08:46:56.451042+00:00
4ab36831-2140-4f50-baf7-8b245a456928,85e09629-8283-4ada-bdce-b4bc06f777e4,West Round 1: Los Angeles Lakers vs Houston Rockets,round_1,series,"{'series': [{'series_key': 'round_1-west-4v5', 'round': 'round_1', 'conference': 'West', 'label': 'West 4 vs 5', 'slots': [{'type': 'seed', 'conference': 'West', 'seed': 4, 'team': 'LAL'}, {'type': 'seed', 'conference': 'West', 'seed': 5, 'team': 'HOU'}], 'teams': ['LAL', 'HOU'], 'exact_results': ['4-0', '4-1', '4-2', '4-3'], 'best_of': 7}]}",2026-04-14T09:00:00+00:00,2026-04-19T00:30:00+00:00,False,False,,516645,2026-04-14T08:46:56.457792+00:00
a7845557-892c-4f2c-8b72-b586b79f45f3,85e09629-8283-4ada-bdce-b4bc06f777e4,West Play-In: Los Angeles Clippers vs Golden State Warriors,play_in,play_in,"{'series': [{'series_key': 'play_in-west-9v10', 'round': 'play_in', 'conference': 'West', 'label': 'West 9 vs 10', 'slots': [{'type': 'seed', 'conference': 'West', 'seed': 9, 'team': 'LAC'}, {'type': 'seed', 'conference': 'West', 'seed': 10, 'team': 'GSW'}], 'teams': ['LAC', 'GSW'], 'exact_results': ['1-0'], 'best_of': 1}]}",2026-04-14T09:00:00+00:00,2026-04-18T02:00:00+00:00,True,True,2026-04-17T07:54:34.178757+00:00,132062,2026-04-14T08:46:56.439861+00:00
